t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,SD
4,,,,,,,,,4,,1.6875,0.0625,0.0625,,,0.0625,1.72889054
5,,,,,13.5,21.4375,0.5,0.5,,,,,,,,,10.31892161
6,5.0715,6.912,7.488,1.9125,,,,,5.324,0.5,7,4,4,0.0625,6,4,2.470531311
7,,,,,,,,,,,,,,,,,
8,19.456,10.14,15.3,4.4,13.5,32,40,24.5,18.375,4,27,19.074,9.016,23.9575,32,28.8,10.44212489
9,,,,,,,,,,,,,,,,,
10,58.08,24.8,29.988,33.934,47.1495,66.3255,43.4515,43.56,50.176,32.8,52,29.602,20.2125,31.2,38.4,39.71,12.49723891
11,,,,,,,,,,,,,,,,,
12,76.032,36.98,71.656,54.208,67.6,109.33,127.16,74.4385,66.6045,34.4,159.526,74.1285,25.27,59.823,90.944,91.2925,34.5525482
13,,,,,,,,,,,,,,,,,
14,105.056,65.61,173.1925,118.354,126.852,241.115,281.048,113.4905,124.848,37.044,192.2,132.618,90.972,127.9365,137.3125,92.697,61.82018462
15,,,,,,,,,,,,,,,,,
16,178.85,176.256,480.2,276.822,180,350,144,108,158.184,90.972,309.375,356.445,176.4,336.14,224,196.992,106.8553896
17,,,,,484,643.383,357.5745,216.75,197.472,235.34,336,392.85,178.9555,411.642,351.256,230.625,136.6311506
18,423.2,242.0375,520.251,291.2,542.08,845,441.45,303.75,336.14,441,526.5,500,289,574.605,450,364.5,148.2101459
19,500,283.5,606.375,405,567,1008,445.5,484,350,441,538.265,624.024,270.9375,673.486,556.182,,180.7259921
20,760.4375,400,1008,600,587.25,,550,510.76,576,845,542.4055,813.6,401.6125,845,605,422.331,182.9878071
21,1014,605,,845,826.875,,575,676,,,,937.5,605,1051.25,803.736,621.92,172.966155
22,,1078,,1078,,,575,684.45,813.4,1350,650,,665.5,,929.5,646.07,253.9021742
23,,,,,,,699.84,882,980,,622.938,,1122.25,,1237.5,1129.03,230.7135121
24,,,,,,,1098.5,1147.5,,,750,,,,,,216.7408206
25,,,,,,,,,,,1058,,,,,,
