t,2,3,4,5,6,7,SD
4,,0.5,0.25,4,2.025,0.0625,1.663336256
5,4,,,,,,
6,,0.5,0.25,18,4,0.0625,7.68495893
7,,,,,,,
8,40,4,1,22.869,13.5,0.0625,15.60168924
9,,,,,,,
10,49.6125,26.714,14.04,44.528,37.044,43.218,13.26325159
11,,,,,,,
12,70.225,41.6025,39.4875,72.576,65,53.75,14.39289466
13,,,,,,,
14,182.952,72.828,52.02,143.2585,55.223,106.352,52.55750537
15,,,,,,,
16,350,171.072,78.3225,301.806,120.4125,185.6,104.9186006
17,477.53,224,90,405,147,283.5,149.0722738
18,845,324,122.5,550,134.75,375,273.4570236
19,1237.5,410,128.5455,598.23,192,495.9375,398.4643663
20,,742.1875,122.5,864,224,703.125,334.0049752
21,,,,,,,
22,,1078,208,1098.5,400,1103.813,437.7949839
23,,,275.4,,461.4915,,131.5865616
24,,,350,,703.125,,249.6970821
25,,,441,,845,,285.6711396
26,,,595.125,,932.184,,238.3367046
27,,,703.125,,,,
28,,,845,,,,
29,,,1204.72,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
